match_id,set,rally,stroke,time,current_player,backhand,shot_type,chou_score,opp_score,rally_winner,shuttle_x,shuttle_y,chou_x,chou_y,opp_x,opp_y,rally_phase
9771,1,1,1,00:07:39,Kento MOMOTA,1,short service,0,1,NA,164,383,149,309,181,632,early
9771,1,1,2,00:07:43,CHOU Tien Chen,1,clear,0,1,Kento MOMOTA,258,821,151,355,175,657,early
9771,1,2,1,00:07:55,Kento MOMOTA,1,short service,0,2,NA,226,360,232,309,165,627,early
9771,1,2,2,00:07:56,CHOU Tien Chen,1,push,0,2,NA,122,753,197,353,175,654,early
9771,1,2,3,00:07:56,Kento MOMOTA,0,smash,0,2,NA,154,262,167,274,136,734,early
9771,1,2,4,00:07:57,CHOU Tien Chen,1,return net,0,2,NA,120,526,151,248,149,720,early
9771,1,2,5,00:07:58,Kento MOMOTA,0,rush,0,2,NA,181,272,155,269,136,627,early
9771,1,2,6,00:07:58,CHOU Tien Chen,0,drive,0,2,Kento MOMOTA,341,822,178,293,159,649,early
9771,1,3,1,00:08:11,Kento MOMOTA,1,short service,1,2,NA,156,306,145,304,180,637,early
9771,1,3,2,00:08:12,CHOU Tien Chen,1,net shot,1,2,NA,119,584,135,353,162,640,early
9771,1,3,3,00:08:13,Kento MOMOTA,0,lob,1,2,NA,100,183,152,318,111,578,early
9771,1,3,4,00:08:14,CHOU Tien Chen,0,smash,1,2,NA,212,666,125,198,162,681,early
9771,1,3,5,00:08:14,Kento MOMOTA,1,return net,1,2,NA,247,377,128,178,167,691,early
9771,1,3,6,00:08:16,CHOU Tien Chen,1,lob,1,2,NA,116,754,225,338,196,677,early
9771,1,3,7,00:08:17,Kento MOMOTA,0,wrist smash,1,2,NA,106,276,171,279,150,775,early
9771,1,3,8,00:08:17,CHOU Tien Chen,0,return net,1,2,NA,108,527,129,295,152,716,early
9771,1,3,9,00:08:18,Kento MOMOTA,0,cross-court net shot,1,2,NA,253,386,150,283,110,649,early
9771,1,3,10,00:08:19,CHOU Tien Chen,1,net shot,1,2,NA,253,505,227,394,185,649,early
9771,1,3,11,00:08:20,Kento MOMOTA,1,lob,1,2,NA,85,193,230,338,233,558,early
9771,1,3,12,00:08:22,CHOU Tien Chen,0,wrist smash,1,2,NA,228,648,131,204,171,709,early
9771,1,3,13,00:08:23,Kento MOMOTA,1,return net,1,2,NA,245,349,160,219,233,686,early
9771,1,3,14,00:08:24,CHOU Tien Chen,1,lob,1,2,NA,110,753,235,360,206,668,early
9771,1,3,15,00:08:25,Kento MOMOTA,0,passive drop,1,2,NA,116,346,163,288,124,764,early
9771,1,3,16,00:08:26,CHOU Tien Chen,0,drive,1,2,NA,225,656,129,342,146,701,early
9771,1,3,17,00:08:26,Kento MOMOTA,1,defensive return drive,1,2,NA,115,188,184,307,204,674,early
9771,1,3,18,00:08:28,CHOU Tien Chen,0,clear,1,2,NA,101,765,119,226,161,682,early
9771,1,3,19,00:08:29,Kento MOMOTA,0,clear,1,2,NA,106,198,166,290,109,765,early
9771,1,3,20,00:08:30,CHOU Tien Chen,0,wrist smash,1,2,NA,229,668,109,196,158,688,early
9771,1,3,21,00:08:31,Kento MOMOTA,1,return net,1,2,NA,254,377,134,181,222,665,early
9771,1,3,22,00:08:32,CHOU Tien Chen,1,lob,1,2,NA,94,787,228,362,211,665,early
9771,1,3,23,00:08:33,Kento MOMOTA,0,clear,1,2,NA,78,185,174,291,134,790,early
9771,1,3,24,00:08:35,CHOU Tien Chen,0,smash,1,2,NA,108,685,94,218,156,704,early
9771,1,3,25,00:08:35,Kento MOMOTA,0,return net,1,2,NA,96,346,55,177,155,704,early
9771,1,3,26,00:08:36,CHOU Tien Chen,0,push,1,2,NA,240,769,118,344,133,682,early
9771,1,3,27,00:08:37,Kento MOMOTA,1,passive drop,1,2,CHOU Tien Chen,263,498,203,275,252,757,early
9771,1,4,1,00:08:57,CHOU Tien Chen,1,short service,1,3,NA,120,599,187,311,139,661,early
9771,1,4,2,00:08:58,Kento MOMOTA,1,net shot,1,3,NA,94,357,173,288,123,622,early
9771,1,4,3,00:08:59,CHOU Tien Chen,0,net shot,1,3,NA,101,545,114,380,146,651,early
9771,1,4,4,00:09:00,Kento MOMOTA,0,net shot,1,3,NA,94,421,132,340,98,572,early
9771,1,4,5,00:09:00,CHOU Tien Chen,0,rush,1,3,NA,137,619,113,370,118,598,early
9771,1,4,6,00:09:00,Kento MOMOTA,1,return net,1,3,Kento MOMOTA,250,222,90,443,127,614,early
9771,1,5,1,00:09:16,Kento MOMOTA,1,short service,2,3,NA,223,343,233,321,167,629,early
9771,1,5,2,00:09:17,CHOU Tien Chen,1,push,2,3,NA,105,761,195,349,181,652,early
9771,1,5,3,00:09:18,Kento MOMOTA,0,wrist smash,2,3,NA,130,269,167,274,131,754,early
9771,1,5,4,00:09:19,CHOU Tien Chen,0,defensive return drive,2,3,NA,204,706,152,260,131,731,early
9771,1,5,5,00:09:20,Kento MOMOTA,0,smash,2,3,NA,231,265,168,277,191,720,early
9771,1,5,6,00:09:20,CHOU Tien Chen,1,defensive return lob,2,3,NA,110,749,200,277,203,697,early
9771,1,5,7,00:09:21,Kento MOMOTA,0,clear,2,3,NA,92,201,170,274,126,768,early
9771,1,5,8,00:09:22,CHOU Tien Chen,0,smash,2,3,NA,117,653,83,208,155,700,early
9771,1,5,9,00:09:23,Kento MOMOTA,0,return net,2,3,NA,111,344,99,230,145,701,early
9771,1,5,10,00:09:24,CHOU Tien Chen,0,lob,2,3,NA,105,778,119,328,151,663,early
9771,1,5,11,00:09:25,Kento MOMOTA,0,clear,2,3,NA,242,202,159,293,118,768,early
9771,1,5,12,00:09:26,CHOU Tien Chen,1,passive drop,2,3,NA,247,607,199,212,196,689,early
9771,1,5,13,00:09:27,Kento MOMOTA,1,push,2,3,NA,254,205,203,253,232,659,early
9771,1,5,14,00:09:28,CHOU Tien Chen,0,wrist smash,2,3,NA,130,675,250,202,201,669,early
9771,1,5,15,00:09:28,Kento MOMOTA,0,return net,2,3,NA,117,367,256,230,180,678,early
9771,1,5,16,00:09:29,CHOU Tien Chen,0,rush,2,3,CHOU Tien Chen,94,778,149,370,151,685,early
9771,1,6,1,00:09:57,CHOU Tien Chen,1,long service,2,4,NA,234,735,161,315,231,663,early
9771,1,6,2,00:09:58,Kento MOMOTA,0,wrist smash,2,4,NA,241,251,187,286,217,769,early
9771,1,6,3,00:09:59,CHOU Tien Chen,1,defensive return lob,2,4,NA,254,743,193,286,215,739,early
9771,1,6,4,00:10:00,Kento MOMOTA,0,wrist smash,2,4,NA,256,310,191,284,236,785,early
9771,1,6,5,00:10:01,CHOU Tien Chen,1,cross-court net shot,2,4,Kento MOMOTA,259,471,243,289,211,723,early
9771,1,7,1,00:10:14,Kento MOMOTA,1,short service,2,5,NA,151,297,143,290,179,635,early
9771,1,7,2,00:10:15,CHOU Tien Chen,1,push,2,5,NA,106,761,139,340,166,654,early
9771,1,7,3,00:10:16,Kento MOMOTA,0,passive drop,2,5,NA,116,271,162,286,102,773,early
9771,1,7,4,00:10:17,CHOU Tien Chen,0,drop,2,5,Kento MOMOTA,306,599,128,292,137,727,early
9771,1,8,1,00:10:32,Kento MOMOTA,1,short service,2,6,NA,206,325,233,307,166,630,early
9771,1,8,2,00:10:33,CHOU Tien Chen,1,drive,2,6,NA,146,657,199,351,176,646,early
9771,1,8,3,00:10:33,Kento MOMOTA,0,drive,2,6,NA,135,283,174,322,158,670,early
9771,1,8,4,00:10:34,CHOU Tien Chen,0,drive,2,6,NA,203,634,168,304,150,676,early
9771,1,8,5,00:10:34,Kento MOMOTA,1,return net,2,6,NA,179,344,173,293,160,678,early
9771,1,8,6,00:10:35,CHOU Tien Chen,1,push,2,6,Kento MOMOTA,273,827,177,309,165,675,early
9771,1,9,1,00:10:50,Kento MOMOTA,1,short service,3,6,NA,147,326,147,290,181,632,early
9771,1,9,2,00:10:50,CHOU Tien Chen,1,net shot,3,6,NA,170,544,142,340,166,646,early
9771,1,9,3,00:10:51,Kento MOMOTA,1,net shot,3,6,NA,155,364,161,309,150,568,early
9771,1,9,4,00:10:52,CHOU Tien Chen,0,lob,3,6,NA,140,742,150,372,166,601,early
9771,1,9,5,00:10:54,Kento MOMOTA,0,drop,3,6,NA,140,288,173,295,147,785,early
9771,1,9,6,00:10:54,CHOU Tien Chen,0,return net,3,6,NA,178,568,147,299,157,729,early
9771,1,9,7,00:10:55,Kento MOMOTA,1,lob,3,6,NA,94,191,162,290,166,643,early
9771,1,9,8,00:10:57,CHOU Tien Chen,0,clear,3,6,NA,106,746,109,201,152,681,early
9771,1,9,9,00:10:58,Kento MOMOTA,0,wrist smash,3,6,NA,98,238,162,255,100,790,early
9771,1,9,10,00:10:59,CHOU Tien Chen,0,return net,3,6,NA,122,529,141,267,123,731,early
9771,1,9,11,00:11:00,Kento MOMOTA,0,lob,3,6,NA,105,198,135,313,119,601,early
9771,1,9,12,00:11:01,CHOU Tien Chen,0,clear,3,6,NA,116,743,122,178,153,673,early
9771,1,9,13,00:11:02,Kento MOMOTA,0,passive drop,3,6,NA,125,328,170,281,114,782,early
9771,1,9,14,00:11:03,CHOU Tien Chen,0,lob,3,6,NA,116,734,139,306,149,714,early
9771,1,9,15,00:11:04,Kento MOMOTA,0,drop,3,6,NA,101,308,161,283,111,756,early
9771,1,9,16,00:11:05,CHOU Tien Chen,0,cross-court net shot,3,6,NA,239,544,120,290,154,700,early
9771,1,9,17,00:11:06,Kento MOMOTA,1,lob,3,6,NA,91,193,173,286,197,634,early
9771,1,9,18,00:11:07,CHOU Tien Chen,0,clear,3,6,NA,102,742,118,186,162,675,early
9771,1,9,19,00:11:09,Kento MOMOTA,0,drop,3,6,NA,92,365,162,288,90,783,early
9771,1,9,20,00:11:09,CHOU Tien Chen,0,net shot,3,6,NA,107,557,120,308,132,720,early
9771,1,9,21,00:11:10,Kento MOMOTA,0,lob,3,6,NA,102,211,143,304,111,609,early
9771,1,9,22,00:11:11,CHOU Tien Chen,0,smash,3,6,CHOU Tien Chen,251,743,106,196,156,672,early
9771,1,10,1,00:11:36,CHOU Tien Chen,1,short service,3,7,NA,123,599,188,316,138,663,early
9771,1,10,2,00:11:37,Kento MOMOTA,1,lob,3,7,NA,102,208,167,304,124,633,early
9771,1,10,3,00:11:39,CHOU Tien Chen,0,drop,3,7,NA,228,582,132,199,160,682,early
9771,1,10,4,00:11:39,Kento MOMOTA,1,net shot,3,7,NA,239,341,158,250,195,642,early
9771,1,10,5,00:11:40,CHOU Tien Chen,1,push,3,7,NA,245,731,221,364,190,660,early
9771,1,10,6,00:11:41,Kento MOMOTA,1,passive drop,3,7,NA,233,316,210,284,265,753,early
9771,1,10,7,00:11:42,CHOU Tien Chen,1,drive,3,7,NA,117,652,222,291,239,736,early
9771,1,10,8,00:11:42,Kento MOMOTA,0,return net,3,7,NA,163,340,189,291,178,686,early
9771,1,10,9,00:11:43,CHOU Tien Chen,0,net shot,3,7,Kento MOMOTA,165,447,160,351,178,663,early
9771,1,11,1,00:11:59,Kento MOMOTA,1,short service,4,7,NA,203,293,235,312,168,629,early
9771,1,11,2,00:12:00,CHOU Tien Chen,1,push,4,7,NA,111,738,203,349,174,661,early
9771,1,11,3,00:12:01,Kento MOMOTA,0,passive drop,4,7,NA,106,297,163,300,116,765,early
9771,1,11,4,00:12:01,CHOU Tien Chen,0,return net,4,7,NA,113,607,131,317,150,717,early
9771,1,11,5,00:12:03,Kento MOMOTA,0,net shot,4,7,NA,97,359,146,295,115,614,early
9771,1,11,6,00:12:04,CHOU Tien Chen,0,net shot,4,7,NA,102,511,111,380,141,643,early
9771,1,11,7,00:12:04,Kento MOMOTA,0,lob,4,7,NA,100,191,144,331,110,581,early
9771,1,11,8,00:12:06,CHOU Tien Chen,0,clear,4,7,NA,102,773,100,193,162,681,early
9771,1,11,9,00:12:07,Kento MOMOTA,0,passive drop,4,7,NA,91,285,160,281,117,773,early
9771,1,11,10,00:12:08,CHOU Tien Chen,0,push,4,7,NA,95,764,124,295,152,714,early
9771,1,11,11,00:12:09,Kento MOMOTA,0,passive drop,4,7,NA,86,283,158,281,96,761,early
9771,1,11,12,00:12:10,CHOU Tien Chen,0,return net,4,7,NA,103,584,119,297,145,716,early
9771,1,11,13,00:12:11,Kento MOMOTA,0,net shot,4,7,NA,105,350,153,286,100,638,early
9771,1,11,14,00:12:12,CHOU Tien Chen,0,push,4,7,NA,104,749,106,378,142,654,early
9771,1,11,15,00:12:13,Kento MOMOTA,0,passive drop,4,7,NA,114,290,152,295,118,749,early
9771,1,11,16,00:12:14,CHOU Tien Chen,0,drive,4,7,NA,212,675,137,295,158,710,early
9771,1,11,17,00:12:14,Kento MOMOTA,1,return net,4,7,NA,236,375,172,302,190,684,early
9771,1,11,18,00:12:15,CHOU Tien Chen,1,push,4,7,NA,107,765,229,354,209,672,early
9771,1,11,19,00:12:16,Kento MOMOTA,0,clear,4,7,NA,231,187,165,290,103,761,early
9771,1,11,20,00:12:17,CHOU Tien Chen,0,clear,4,7,NA,240,739,208,234,167,719,early
9771,1,11,21,00:12:18,Kento MOMOTA,0,wrist smash,4,7,NA,233,273,192,234,254,775,early
9771,1,11,22,00:12:19,CHOU Tien Chen,1,cross-court net shot,4,7,NA,129,571,232,280,229,729,early
9771,1,11,23,00:12:20,Kento MOMOTA,0,return net,4,7,NA,158,351,184,267,156,648,early
9771,1,11,24,00:12:21,CHOU Tien Chen,1,lob,4,7,NA,96,750,152,351,171,654,early
9771,1,11,25,00:12:22,Kento MOMOTA,0,clear,4,7,NA,103,170,164,293,131,775,early
9771,1,11,26,00:12:23,CHOU Tien Chen,0,clear,4,7,NA,94,756,104,211,161,688,early
9771,1,11,27,00:12:25,Kento MOMOTA,0,drop,4,7,NA,90,346,164,281,118,776,early
9771,1,11,28,00:12:26,CHOU Tien Chen,0,net shot,4,7,NA,124,542,107,319,142,713,early
9771,1,11,29,00:12:27,Kento MOMOTA,0,lob,4,7,NA,243,192,137,308,111,578,early
9771,1,11,30,00:12:28,CHOU Tien Chen,0,clear,4,7,NA,98,756,242,200,189,675,early
9771,1,11,31,00:12:29,Kento MOMOTA,0,clear,4,7,NA,103,216,176,272,133,752,early
9771,1,11,32,00:12:31,CHOU Tien Chen,0,wrist smash,4,7,NA,238,623,97,198,159,700,early
9771,1,11,33,00:12:31,Kento MOMOTA,1,return net,4,7,NA,238,336,130,196,236,650,early
9771,1,11,34,00:12:32,CHOU Tien Chen,1,lob,4,7,NA,92,762,236,358,213,663,early
9771,1,11,35,00:12:34,Kento MOMOTA,0,clear,4,7,NA,89,196,176,307,142,768,early
9771,1,11,36,00:12:35,CHOU Tien Chen,0,clear,4,7,NA,102,769,91,206,163,682,early
9771,1,11,37,00:12:37,Kento MOMOTA,0,clear,4,7,NA,102,216,147,265,97,778,early
9771,1,11,38,00:12:38,CHOU Tien Chen,0,clear,4,7,NA,96,782,110,201,161,684,early
9771,1,11,39,00:12:39,Kento MOMOTA,0,clear,4,7,NA,93,178,163,246,124,768,early
9771,1,11,40,00:12:41,CHOU Tien Chen,0,clear,4,7,NA,84,768,105,201,154,682,early
9771,1,11,41,00:12:42,Kento MOMOTA,0,passive drop,4,7,CHOU Tien Chen,44,341,157,274,113,782,early
